WardCode,WardName,Borough,Year,Month,Predicted_Burglaries,Lower_Bound,Upper_Bound,Classification
E05013889,Hale End & Highams Park South,E09000031,2019,3,5,0.056219578,10.367542,Medium
E05013777,"Ham, Petersham & Richmond Riverside",E09000027,2019,3,6,0.53392553,10.845247,Medium
E05013741,Hammersmith Broadway,E09000013,2019,3,4,0.0,9.09366,Low
E05013659,Hampstead Town,E09000007,2019,3,5,0.0,10.168971,Medium
E05013778,Hampton,E09000027,2019,3,7,1.5867414,11.898064,Medium
E05013779,Hampton North,E09000027,2019,3,8,2.9284148,13.239737,Medium
E05013780,Hampton Wick & South Teddington,E09000027,2019,3,5,0.05689621,10.368218,Medium
E05013524,Hanger Hill,E09000009,2019,3,14,9.193804,19.505127,Medium
E05013525,Hanwell Broadway,E09000009,2019,3,6,1.1449833,11.4563055,Medium
E05013615,Hanworth Park,E09000018,2019,3,5,0.0,10.127451,Low
E05013616,Hanworth Village,E09000018,2019,3,8,2.3707056,12.682028,Medium
E05013568,Harefield Village,E09000017,2019,3,4,0.0,9.231363,Low
E05013501,Harlesden & Kensal Green,E09000005,2019,3,13,8.162115,18.473436,Medium
E05013973,Harold Wood,E09000016,2019,3,7,2.321432,12.632754,Medium
E05013590,Harringay,E09000014,2019,3,10,4.8029227,15.114244,Medium
E05013795,Harrow Road,E09000033,2019,3,6,1.09976,11.411082,Medium
E05013548,Harrow Weald,E09000015,2019,3,11,6.242225,16.553547,Medium
E05013547,Harrow on the Hill,E09000015,2019,3,7,1.7773194,12.088642,Medium
E05013682,Haselbury,E09000010,2019,3,12,7.1571345,17.468456,Medium
E05013549,Hatch End,E09000015,2019,3,6,1.2709565,11.582279,Medium
E05013890,Hatch Lane & Highams Park North,E09000031,2019,3,6,1.1680417,11.479364,Medium
E05013974,Havering-atte-Bower,E09000016,2019,3,7,1.921936,12.233258,Medium
E05013660,Haverstock,E09000007,2019,3,8,2.4298139,12.741137,Medium
E05013998,Hayes & Coney Hall,E09000006,2019,3,7,1.7929769,12.1043,Medium
E05013569,Hayes Town,E09000017,2019,3,9,3.9362655,14.247587,Medium
E05013550,Headstone,E09000015,2019,3,9,3.520883,13.832205,Medium
E05014063,Heath,E09000002,2019,3,4,0.0,8.9621105,Low
E05013781,Heathfield,E09000027,2019,3,5,0.0,9.996973,Low
E05013570,Heathrow Villages,E09000017,2019,3,10,4.5482554,14.859577,Medium
E05013975,Heaton,E09000016,2019,3,8,3.303969,13.615292,Medium
E05013643,Hendon,E09000003,2019,3,17,12.19442,22.505741,High
E05013591,Hermitage & Gardens,E09000014,2019,3,3,0.0,8.571489,Low
E05014104,Herne Hill & Loughborough Junction,E09000022,2019,3,12,6.4132,16.724522,Medium
E05013617,Heston Central,E09000018,2019,3,7,1.489903,11.801226,Medium
E05013618,Heston East,E09000018,2019,3,8,2.4062285,12.71755,Medium
E05013619,Heston West,E09000018,2019,3,8,2.7518215,13.063144,Medium
E05013644,High Barnet,E09000003,2019,3,9,4.001765,14.313087,Medium
E05013891,High Street,E09000031,2019,3,4,0.0,9.348326,Low
E05013892,Higham Hill,E09000031,2019,3,5,0.28235292,10.593676,Medium
E05013704,Highbury,E09000019,2019,3,14,8.865908,19.177229,Medium
E05013683,Highfield,E09000010,2019,3,8,3.2941985,13.60552,Medium
E05013661,Highgate,E09000007,2019,3,21,15.773445,26.084766,High
E05013571,Hillingdon East,E09000017,2019,3,9,4.1149535,14.426275,Medium
E05013572,Hillingdon West,E09000017,2019,3,5,0.12972975,10.4410515,Medium
E05013705,Hillrise,E09000019,2019,3,8,3.204924,13.516247,Medium
E05013816,Hillside,E09000024,2019,3,5,0.0,9.739418,Low
E05013724,Hither Green,E09000023,2019,3,14,8.437912,18.749233,Medium
E05013893,Hoe Street,E09000031,2019,3,8,3.2328134,13.544136,Medium
E05013662,Holborn & Covent Garden,E09000007,2019,3,8,3.2338119,13.545134,Medium
E05009397,Holland,E09000020,2019,3,7,2.1683493,12.4796715,Medium
E05013706,Holloway,E09000019,2019,3,9,3.3685126,13.679834,Medium
E05009376,Homerton,E09000012,2019,3,12,6.486799,16.79812,Medium
E05013935,Hook & Chessington North,E09000021,2019,3,4,0.0,9.254426,Low
E05013593,Hornsey,E09000014,2019,3,9,3.8372998,14.1486225,Medium
E05013620,Hounslow Central,E09000018,2019,3,6,0.86490345,11.176226,Medium
E05013621,Hounslow East,E09000018,2019,3,4,0.0,9.547737,Low
E05013622,Hounslow Heath,E09000018,2019,3,7,1.3927059,11.704028,Medium
E05013623,Hounslow South,E09000018,2019,3,6,1.0572238,11.368546,Medium
E05013624,Hounslow West,E09000018,2019,3,7,1.7828398,12.094162,Medium
E05009377,Hoxton East & Shoreditch,E09000012,2019,3,8,2.8345613,13.145884,Medium
E05009378,Hoxton West,E09000012,2019,3,6,0.38736582,10.6986885,Medium
E05013796,Hyde Park,E09000033,2019,3,9,4.1394105,14.450733,Medium
E05013976,Hylands & Harrow Lodge,E09000016,2019,3,6,0.8276434,11.138966,Medium
E05013573,Ickenham & South Harefield,E09000017,2019,3,10,4.431605,14.742928,Medium
E05011246,Ilford Town,E09000026,2019,3,5,0.3244691,10.635792,Medium
E05009324,Island Gardens,E09000030,2019,3,4,0.0,9.33573,Low
E05013625,Isleworth,E09000018,2019,3,6,1.219821,11.531143,Medium
E05013684,Jubilee,E09000010,2019,3,15,9.4423275,19.753649,Medium
E05013707,Junction,E09000019,2019,3,9,3.6981597,14.009481,Medium
E05013999,Kelsey & Eden Park,E09000006,2019,3,12,6.5649858,16.876308,Medium
E05011469,Kenley,E09000008,2019,3,8,2.5192652,12.830587,Medium
E05014105,Kennington,E09000022,2019,3,13,8.203545,18.514868,Medium
E05013663,Kentish Town North,E09000007,2019,3,4,0.0,9.514064,Low
E05013664,Kentish Town South,E09000007,2019,3,6,0.92711973,11.238441,Medium
E05013502,Kenton,E09000005,2019,3,10,5.173572,15.484894,Medium
E05013551,Kenton East,E09000015,2019,3,7,1.3907957,11.702118,Medium
E05013552,Kenton West,E09000015,2019,3,6,1.253375,11.564697,Medium
E05013782,Kew,E09000027,2019,3,9,3.4575734,13.768896,Medium
E05014083,Kidbrooke Park,E09000011,2019,3,8,2.892465,13.203787,Medium
E05014084,Kidbrooke Village & Sutcliffe,E09000011,2019,3,6,0.40653563,10.717857,Medium
E05013503,Kilburn,E09000005,2019,3,19,14.128094,24.439415,High
E05013936,King George's & Sunray,E09000021,2019,3,5,0.0,9.985636,Low
E05013666,King's Cross,E09000007,2019,3,9,3.4286504,13.739973,Medium
E05009379,King's Park,E09000012,2019,3,8,2.7866244,13.097946,Medium
E05013504,Kingsbury,E09000005,2019,3,4,0.0,9.491957,Low
E05013937,Kingston Gate,E09000021,2019,3,6,0.7457166,11.057039,Medium
E05013938,Kingston Town,E09000021,2019,3,8,2.8882327,13.199554,Medium
E05014106,Knight's Hill,E09000022,2019,3,10,4.4406304,14.751953,Medium
E05013797,Knightsbridge & Belgravia,E09000033,2019,3,10,5.1986976,15.510019,Medium
E05013526,Lady Margaret,E09000009,2019,3,12,6.9115624,17.222885,Medium
E05013725,Ladywell,E09000023,2019,3,9,3.5290627,13.840385,Medium
E05013798,Lancaster Gate,E09000033,2019,3,17,11.813004,22.124325,High
E05009325,Lansbury,E09000030,2019,3,11,6.176719,16.48804,Medium
E05013894,Larkswood,E09000031,2019,3,6,1.0066676,11.317989,Medium
E05014014,Lavender,E09000032,2019,3,10,4.349917,14.66124,Medium
E05013817,Lavender Fields,E09000024,2019,3,5,0.19742775,10.50875,Medium
E05013708,Laycock,E09000019,2019,3,12,6.547464,16.858786,Medium
E05009380,Lea Bridge,E09000012,2019,3,17,11.791002,22.102324,High
E05013726,Lee Green,E09000023,2019,3,8,2.938476,13.249798,Medium
E05013727,Lewisham Central,E09000023,2019,3,6,1.2027893,11.5141115,Medium
E05013896,Leyton,E09000031,2019,3,7,1.3644404,11.675762,Medium
E05013897,Leytonstone,E09000031,2019,3,5,0.0,10.06418,Low
E05013742,Lillie,E09000013,2019,3,3,0.0,8.1854105,Low
E05009326,Limehouse,E09000030,2019,3,6,1.0107613,11.322083,Medium
E05013915,Little Ilford,E09000025,2019,3,7,2.2559452,12.567267,Medium
E05013799,Little Venice,E09000033,2019,3,8,2.7493439,13.060666,Medium
E05011104,London Bridge & West Bermondsey,E09000028,2019,3,9,4.1335225,14.444845,Medium
E05009381,London Fields,E09000012,2019,3,8,2.6564422,12.967764,Medium
E05014064,Longbridge,E09000002,2019,3,8,3.252337,13.56366,Medium
E05011227,Longlands,E09000004,2019,3,9,3.552339,13.863661,Medium
E05013818,Longthornton,E09000024,2019,3,6,1.0071912,11.318514,Medium
E05013685,Lower Edmonton,E09000010,2019,3,9,4.250068,14.56139,Medium
E05013819,Lower Morden,E09000024,2019,3,5,0.0,10.191745,Medium
E05011247,Loxford,E09000026,2019,3,6,0.69777775,11.0091,Medium
E05013800,Maida Vale,E09000033,2019,3,8,2.9692168,13.280539,Medium
E05013916,Manor Park,E09000025,2019,3,7,1.5327821,11.844105,Medium
E05013898,Markhouse,E09000031,2019,3,4,0.0,9.545682,Low
E05013553,Marlborough,E09000015,2019,3,6,0.84871674,11.160039,Medium
E05013977,Marshalls & Rise Park,E09000016,2019,3,9,3.393867,13.705189,Medium
E05013917,Maryland,E09000025,2019,3,4,0.0,9.44038,Low
E05013801,Marylebone,E09000033,2019,3,19,13.731031,24.042353,High
E05013978,Mawneys,E09000016,2019,3,9,3.3814979,13.69282,Medium
E05014065,Mayesbrook,E09000002,2019,3,7,2.2479405,12.559263,Medium
E05011248,Mayfield,E09000026,2019,3,7,2.0644283,12.375751,Medium
E05013820,Merton Park,E09000024,2019,3,8,3.042338,13.353661,Medium
E05014085,Middle Park & Horn Park,E09000011,2019,3,7,1.4068537,11.718176,Medium
E05013709,Mildmay,E09000019,2019,3,11,6.1356015,16.446924,Medium
E05009327,Mile End,E09000030,2019,3,14,8.4109535,18.722277,Medium
E05013645,Mill Hill,E09000003,2019,3,12,6.5726056,16.883928,Medium
E05011249,Monkhams,E09000026,2019,3,6,0.92505884,11.236382,Medium
E05013783,Mortlake & Barnes Common,E09000027,2019,3,7,2.1453433,12.456665,Medium
E05013939,Motspur Park & Old Malden East,E09000021,2019,3,7,1.7088132,12.020136,Medium
E05014000,Mottingham,E09000006,2019,3,7,2.1915183,12.50284,Medium
E05014086,"Mottingham, Coldharbour & New Eltham",E09000011,2019,3,9,4.1567245,14.468046,Medium
E05013743,Munster,E09000013,2019,3,9,4.331923,14.643246,Medium
E05013594,Muswell Hill,E09000014,2019,3,8,2.7508864,13.062208,Medium
E05014107,Myatt's Fields,E09000022,2019,3,6,1.1750231,11.486345,Medium
E05011470,New Addington North,E09000008,2019,3,4,0.0,9.035259,Low
E05011471,New Addington South,E09000008,2019,3,5,0.0,10.122131,Low
E05013728,New Cross Gate,E09000023,2019,3,6,0.54047203,10.851794,Medium
E05013940,New Malden Village,E09000021,2019,3,8,3.1446862,13.456009,Medium
E05013686,New Southgate,E09000010,2019,3,6,0.8271241,11.138447,Medium
E05011250,Newbury,E09000026,2019,3,5,0.13746834,10.448791,Medium
E05011105,Newington,E09000028,2019,3,9,4.042382,14.353704,Medium
E05014015,Nine Elms,E09000032,2019,3,4,0.0,9.030876,Low
E05013595,Noel Park,E09000014,2019,3,10,4.824945,15.136267,Medium
E05013941,Norbiton,E09000021,2019,3,6,0.47603178,10.7873535,Medium
